Time,Latitude,Longitude,PM10,PM25,Humidity,Temperature
00.00. 00:00:00.00,69.647682,18.985996,3.4,1.8,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985996,3.3,1.7,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985996,3.2,1.7,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986017,4.3,1.6,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986017,4.2,1.6,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986019,4.1,1.6,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986019,4.1,1.6,99.9,1.2
00.00. 00:00:00.00,69.648208,18.998756,5.5,1.4,96.5,1.2
00.00. 00:00:00.00,69.648216,18.998796,5.2,1.4,96.5,1.2
00.00. 00:00:00.00,69.648223,18.998878,4.8,1.3,96.6,1.2
00.00. 00:00:00.00,69.64833,18.99924,4.6,1.3,96.6,1.2
00.00. 00:00:00.00,69.648231,18.998924,4.6,1.3,96.6,1.2
00.00. 00:00:00.00,69.648315,18.999191,4.5,1.3,96.4,1.2
00.00. 00:00:00.00,69.6483,18.999166,4.5,1.3,96.4,1.2
00.00. 00:00:00.00,69.648284,18.999116,4.5,1.3,96.6,1.2
00.00. 00:00:00.00,69.648277,18.999094,4.5,1.3,96.6,1.2
00.00. 00:00:00.00,69.648262,18.999032,4.4,1.3,96.6,1.2
00.00. 00:00:00.00,69.648513,18.999977,6.6,1.2,94.8,1.2
00.00. 00:00:00.00,69.648506,18.99994,6.4,1.2,94.8,1.2
00.00. 00:00:00.00,69.648406,18.999423,4.6,1.2,96.3,1.2
00.00. 00:00:00.00,69.648345,18.999265,4.6,1.2,96.6,1.2
00.00. 00:00:00.00,69.648399,18.999399,4.5,1.2,96.3,1.2
00.00. 00:00:00.00,69.648376,18.999347,4.5,1.2,96.4,1.2
00.00. 00:00:00.00,69.648368,18.99932,4.5,1.2,96.4,1.2
00.00. 00:00:00.00,69.648246,18.999,4.3,1.2,96.6,1.2
00.00. 00:00:00.00,69.647697,18.985956,20.2,5.7,99.9,1.1
