New AIR:BIT Logging started
Time,Lat,Lon,Temp,Humi,PM10,PM25
Time,Lat,Lon,Temp,Humi,PM10,PM25
5.4.2018 10:58:2.0,69.647491,18.998401,7.90,27.40,0.90,0.90
5.4.2018 10:58:9.0,69.647407,18.998252,7.90,27.50,1.10,1.00
5.4.2018 10:58:16.0,69.647361,18.998043,8.10,27.50,1.10,1.00
5.4.2018 10:58:23.0,69.647308,18.997814,8.10,27.60,1.10,1.00
5.4.2018 10:58:30.0,69.647270,18.997589,8.10,27.60,1.10,1.00
5.4.2018 10:58:37.0,69.647262,18.997453,8.20,27.90,1.10,1.00
5.4.2018 10:58:44.0,69.647247,18.997266,8.30,28.70,1.10,1.00
5.4.2018 10:58:51.0,69.647216,18.997068,8.50,28.30,1.10,1.00
5.4.2018 10:58:58.0,69.647155,18.996780,8.50,28.10,1.10,1.00
5.4.2018 10:59:6.0,69.647087,18.996355,8.10,28.00,1.00,0.90
5.4.2018 10:59:13.0,69.646942,18.996067,8.00,28.10,1.00,0.90
5.4.2018 10:59:21.0,69.646774,18.995866,8.00,28.40,1.00,0.90
5.4.2018 10:59:29.0,69.646690,18.995794,8.10,28.50,0.90,0.80
5.4.2018 10:59:37.0,69.646675,18.995845,8.20,28.30,1.30,1.20
5.4.2018 10:59:44.0,69.646667,18.995828,8.10,28.00,1.80,1.70
5.4.2018 10:59:51.0,69.646659,18.996017,8.00,27.80,1.90,1.80
5.4.2018 11:0:0.0,69.646644,18.996295,8.10,27.80,2.10,2.00
5.4.2018 11:0:3.0,69.646636,18.996343,7.80,27.50,2.10,2.00
5.4.2018 11:0:11.0,69.646629,18.996553,7.70,27.50,2.10,2.00
5.4.2018 11:0:14.0,69.646629,18.996635,7.80,27.60,2.10,2.00
5.4.2018 11:0:17.0,69.646621,18.996746,7.90,27.80,2.30,2.10
5.4.2018 11:0:20.0,69.646614,18.996822,8.00,27.80,2.30,2.10
5.4.2018 11:0:23.0,69.646583,18.996831,8.00,27.70,2.30,2.10
5.4.2018 11:0:26.0,69.646553,18.996822,8.10,27.70,2.20,2.00
5.4.2018 11:0:29.0,69.646522,18.996812,8.10,27.80,2.20,2.00
5.4.2018 11:0:32.0,69.646492,18.996812,8.10,27.70,2.20,2.00
5.4.2018 11:0:35.0,69.646461,18.996809,8.10,27.70,2.20,1.90
5.4.2018 11:0:38.0,69.646446,18.996801,8.10,27.70,2.10,1.30
5.4.2018 11:0:41.0,69.646423,18.996780,8.00,27.70,2.00,1.10
5.4.2018 11:0:49.0,69.646369,18.996786,7.90,27.70,2.00,1.10
5.4.2018 11:0:58.0,69.646286,18.996772,7.90,27.60,1.90,1.00
5.4.2018 11:1:6.0,69.646232,18.996740,7.90,27.60,1.90,0.90
5.4.2018 11:1:16.0,69.646156,18.996742,7.90,27.50,1.10,0.80
5.4.2018 11:1:26.0,69.646072,18.996726,7.90,27.40,1.10,0.80
5.4.2018 11:1:35.0,69.645996,18.996685,7.90,27.20,0.80,0.80
5.4.2018 11:1:38.0,69.645965,18.996665,8.00,27.10,0.80,0.80
5.4.2018 11:1:41.0,69.645935,18.996608,8.10,27.10,0.80,0.80
5.4.2018 11:1:44.0,69.645904,18.996561,8.00,27.00,0.70,0.70
5.4.2018 11:1:47.0,69.645881,18.996509,8.00,27.00,0.70,0.70
5.4.2018 11:1:50.0,69.645858,18.996459,8.10,27.00,0.70,0.70
